"Time in JD"   VWAri   Check   Comparation 
0.2601273   -16.011   -15.548   -14.445 
0.2602778   -16.033   -15.566   -14.431 
0.2604398   -16.02   -15.552   -14.443 
0.2605903   -15.993   -15.542   -14.457 
0.2607407   -16.023   -15.548   -14.435 
0.2608912   -16.041   -15.555   -14.429 
0.2610532   -16   -15.548   -14.445 
0.2612153   -16.018   -15.559   -14.459 
0.2613773   -16.005   -15.562   -14.449 
0.2615278   -16.03   -15.559   -14.448 
0.2617014   -16.006   -15.555   -14.457 
0.2618634   -16.015   -15.557   -14.468 
0.2620139   -16.03   -15.555   -14.439 
0.2621644   -15.996   -15.535   -14.444 
0.2623264   -16.007   -15.566   -14.445 
0.2624769   -16.012   -15.541   -14.45 
0.2626273   -15.851   -15.171   -14.249 
0.2627778   -15.88   -15.466   -14.279 
0.2629398   -16.036   -15.555   -14.443 
0.2630903   -16.029   -15.543   -14.438 
0.2632407   -16.005   -15.546   -14.445 
0.2634028   -16.03   -15.57   -14.444 
0.2635532   -15.962   -15.508   -14.365 
0.2637037   -15.865   -15.418   -14.194 
0.2638657   -16.018   -15.477   -14.441 
0.2640394   -16.019   -15.568   -14.465 
0.2642014   -16.013   -15.263   -14.422 
0.2643519   -15.572   -15.081   -13.918 
0.2645023   -15.581   -15.03   -13.839 
0.2646644   -15.254   -14.761   -13.558 
0.2648148   -15.018   -14.801   -13.318 
0.2649653   -15.771   -15.223   -14.035 
0.2651157   -15.872   -15.484   -14.242 
0.2652894   -16.024   -15.549   -14.448 
0.2654514   -15.985   -15.558   -14.273 
0.2656134   -16.03   -15.543   -14.426 
0.2657639   -16.018   -15.514   -14.433 
0.2659375   -15.08   -14.715   -13.358 
0.2660995   -14.956   -14.604   -13.252 
0.26625   -15.341   -14.949   -13.652 
0.2664352   -15.904   -15.421   -14.274 
0.2665856   -15.961   -15.12   -14.36 
0.2667361   -15.019   -14.319   -13.433 
0.2668866   -14.932   -14.641   -13.268 
0.267037   -15.744   -15.221   -14.095 
0.2671875   -15.526   -15.044   -13.9 
0.267338   -15.835   -15.321   -14.201 
0.2675   -15.801   -14.891   -14.134 
0.2676505   -15.108   -14.369   -13.531 
0.2678009   -15.05   -14.648   -13.584 
0.267963   -15.859   -15.353   -14.22 
0.2681134   -15.184   -13.812   -13.432 
0.2687153   -14.86   -14.368   -13.174 
0.2688657   -15.657   -15.075   -14.025 
0.2690162   -15.479   -14.617   -13.882 
0.2691782   -15.588   -14.407   -13.997 
0.2693403   -15.239   -14.674   -13.523 
0.2694907   -14.986   -14.335   -13.382 
0.2696412   -15.606   -14.935   -13.989 
0.2697917   -15.81   -14.794   -14.166 
0.2699421   -15.099   -14.69   -13.51 
0.2701042   -15.626   -15.364   -13.95 
0.2702546   -15.93   -15.42   -14.3 
0.2704051   -15.923   -15.171   -14.258 
0.2707292   -14.297   -13.712   -12.721 
0.2708796   -14.904   -14.28   -13.269 
0.2710301   -15.915   -15.424   -14.3 
0.2711921   -15.409   -15.237   -13.681 
0.2713426   -15.743   -15.37   -14.067 
0.2715046   -15.872   -15.364   -14.245 
0.2716551   -15.886   -15.349   -14.229 
0.2718171   -15.797   -15.097   -14.131 
0.271956   -14.991   -14.485   -13.42 
0.2721181   -15.76   -15.249   -14.091 
0.2722685   -15.501   -15.048   -13.864 
0.272419   -15.331   -14.812   -13.654 
0.2725694   -14.572   -14.075   -12.931 
0.2727083   -13.533   -12.816   -11.885 
0.30081   -15.213   -14.669   -13.541 
0.3009606   -15.469   -14.809   -13.814 
0.3011227   -15.428   -14.887   -13.678 
0.3012847   -15.112   -13.951   -13.34 
0.3014468   -13.817   -13.242   -11.953 
0.31833   	-15.957   -15.526   -14.425 
0.3185069   -15.931   -15.52   -14.406 
0.3186574   -15.97   -15.511   -14.374 
0.3188079   -15.956   -15.524   -14.385 
0.3189699   -15.913   -15.504   -14.344 
0.3191204   -15.928   -15.487   -14.352 
0.3192708   -15.916   -15.506   -14.34 
0.3194213   -15.901   -15.485   -14.319 
0.3195718   -15.909   -15.454   -14.243 
0.3197222   -15.906   -15.471   -14.323 
0.3198727   -15.888   -15.499   -14.298 
0.3200347   -15.902   -15.468   -14.262 
0.3201852   -15.915   -15.482   -14.284 
0.3203356   -15.954   -15.508   -14.327 
0.3204977   -15.938   -15.512   -14.269 
0.3206481   -15.908   -15.502   -14.203 
0.3208102   -15.777   -15.387   -14.069 
0.3209606   -15.868   -15.476   -14.177 
0.3211111   -15.846   -15.451   -14.124 
0.3212616   -15.826   -15.419   -14.112 
0.321412   -15.719   -15.341   -14.012 
0.3215741   -15.745   -15.309   -14.016 
0.3217245   -15.748   -15.331   -14.061 
0.3218866   -15.795   -15.426   -14.092 
0.322037   -15.785   -15.359   -14.037 
0.3221991   -15.669   -15.205   -13.923 
0.3223611   -15.602   -15.135   -13.862 
0.3225116   -15.703   -15.263   -13.948 
0.3226736   -15.586   -15.146   -13.863 
0.3228125   -15.639   -15.199   -13.909 
0.322963   -15.564   -15.125   -13.848 
0.3231134   -15.529   -14.982   -13.763 
0.3232755   -15.549   -15.04   -13.798 
0.3234259   -15.477   -14.997   -13.725 
0.323588   -15.492   -14.995   -13.728 
0.32375   -15.397   -14.892   -13.636 
0.3239005   -15.402   -14.921   -13.645 
0.3240509   -15.324   -14.884   -13.548 
0.324213   -15.321   -14.77   -13.466 
0.3243519   -15.23   -14.664   -13.349 
0.3245023   -15.146   -14.543   -13.19 
0.3246644   -15.21   -14.631   -13.297 
0.3248148   -15.257   -14.647   -13.384 
0.3249769   -15.118   -14.522   -13.201 
0.3251273   -15.022   -14.41   -12.993 
0.3252894   -14.966   -14.275   -12.888 
0.3254514   -15.101   -14.37   -13.034 
0.3256019   -14.951   -14.343   -12.896 
0.3257523   -15.05   -14.416   -13.034 
0.3259259   -14.851   -14.175   -12.584 
0.326088   -14.86   -14.072   -12.44 
0.32625   -14.798   -14.124   -12.476 
0.326412   -14.799   -14.196   -12.554 
0.3265625   -14.857   -14.302   -12.734 
0.3267245   -14.643   -13.96   -12.148 
0.326875   -14.612   -13.956   -12.092 
0.3270139   -14.387   -13.703   -11.396 
0.3271759   -14.278   -13.577   -11.238 
0.327338   -14.502   -13.863   -11.761 
0.3274884   -14.216   -13.528   -10.778 
0.3276389   -14.248   -13.548   -11.164 
0.3277894   -14.119   -13.38   -10.655 
0.3279514   -13.857   -13.265   -10.039 
0.328125   -14.112   -13.402   -10.597 
0.3282986   -13.749   -13.028   -9.903 
0.3284491   -13.256   -12.527   -9.364 
0.3285995   -13.365   -12.466   -9.073 
0.32875   -13.543   -12.588   -9.607 
0.3289583   -12.952   -12.439   -8.855 
0.3291204   -13.295   -12.462   -8.892 
0.3292708   -13.117   -12.698   -9.072 
0.3294329   -12.134   -11.18   -7.989 
0.3295833   -12.204   -11.529   -8.079 
0.3297338   -12.986   -12.346   -8.936 
0.3298843   -13.497   -12.655   -9.419 
0.3300347   -12.019   -11.21   -7.959 
0.3301852   -11.684   -11.14   -7.367 
0.3303472   -11.675   -10.878   -7.898 
0.3304977   -11.545   -11.121   -7.875 
0.3306481   -11.717   -10.905   -7.665 
0.3307986   -10.732   -10.245   -7.158 
0.3309606   -10.888   -10.438   -7.61 
0.3311111   -10.858   -10.411   -7.474 
0.3312731   -10.98   -10.269   -7.712 
0.3314352   -10.563   -10.189   -7.576 
0.3315856   -10.55   -10.149   -7.76 
0.3317361   -10.243   -9.858    -7.3
0.3318866   -10.516   -10.104   -7.417 
0.3320486   -9.997   -9.818    -6.981
0.3321991   -10.399   -10.006   -7.059 
0.3323611   -9.505   -9.351    -6.771
0.3325116   -9.207   -8.983    -5.932
0.332662   -9.576   -9.365    -7.408
0.3328356   -9.517   -9.256    -6.701
0.3329861   -9.239   -8.994    -6.589
0.3331481   -8.874   -8.602    -6.511
0.3332986   -9.036   -8.567    -6.719
0.3334491   -9.113   -8.887    -6.633
0.3335995   -9.15   -8.721    -6.933
0.33375   -9.137   -8.745    -6.721
0.333912   -8.829   -8.589    -6.256
0.3340625   -8.881   -8.549    -1.747
0.334213   -8.759   -8.298    -7.009
0.3343634   -8.825   -8.383    -5.753
0.3345255   -8.541   -8.077    -5.769
0.3346759   -8.294   -7.735    -6.409
0.334838   -8.406   -7.957    -3.197
0.3349884   -8.525   -8.188    0
0.3351505   -8.509   -8.279    -5.053
0.3353009   -8.142   -8.149    -6.004
0.335463   -8.294   -7.662    -6.062
0.3356134   -8.317   -7.899    0
0.3357639   -7.784   -7.469    0
0.3359259   -8.143   -7.031    -4.861
0.3360764   -6.589   -6.406    -5.758
0.33625   -6.849   -5.977    0
0.3364005   -7.332   -7.186    -5.189
0.3365509   -7.73   -7.547    -5.826
0.3367014   -7.014   -6.954    0
0.3368519   -7.316   -2.5    -1.505
0.3370023   -7.131   -6.145    -4.203
0.3371644   -6.732   -6.96    0
0.3373148   -6.511   -7.199    0
0.3374653   -7.158   -6.669    0
0.3376157   -6.558   -6.92    0
0.3377662   -7.496   -6.685    0
0.3379167   -7.175   -7.383    0
0.3380787   -7.826   -7.232    -6.11
0.3382292   -7.651   -6.708    0
0.3383912   -7.346   -5.779    0
0.3385532   -6.962   -6.242    0
0.3387037   -6.126   -3.728    -4.005
